IDS,COUNTY_NAME,LONGITUDE,LATITUDE,SURFELV,WELL_TYPE,LOG_TYPE,TOP_JTOWN,THICK_JTOWN,TOP_COLCH,THICK_COLCH,TOP_SEELY,THICK_SEELY,TOP_DEKOVEN,THICK_DEKOVEN,TOP_LWRDEK,THICK_LWRDEK,TOP_DAVIS,THICK_DAVIS
02300777000C,CLARK,-87.604086,39.292509,450,Oil and Gas Test,Electric Log,,,-80,,-142,3.5,,,,,,
02300778000C,CLARK,-87.620638,39.280066,470,Oil and Gas Test,Electric Log,,,-132,,,,,,,,,
02300779000C,CLARK,-87.639341,39.272836,455,Oil and Gas Test,Electric Log,89,3,-140,,-205,4,,,,,,
02300781000C,CLARK,-87.891186,39.29908,571,Oil and Gas Test,Electric Log,384,,,,209,3,,,,,,
02300782000C,CLARK,-87.879754,39.299267,594,Oil and Gas Test,Electric Log,388,,262,,,,,,,,,
02300783000C,CLARK,-87.873823,39.299301,613,Oil and Gas Test,Electric Log,363,,234,,193,5,,,,,,
02300784000C,CLARK,-87.803536,39.284492,604,Oil and Gas Test,Electric Log,21,3,-146,,-216,,,,,,,
02300795000C,CLARK,-87.89362,39.275971,576,Oil and Gas Test,Electric Log,,,274,,237,3,,,,,,
02300798000C,CLARK,-88.010157,39.331368,645,Oil and Gas Test,Electric Log,,,105,,69,4,,,,,,
02300800000C,CLARK,-87.618084,39.269238,456,Oil and Gas Test,Electric Log,66,,-161,,-225,5,,,,,,
02300801000C,CLARK,-87.728492,39.262199,582,Oil and Gas Test,Electric Log,0,3.5,,,-266,5.5,,,,,,
02300804000C,CLARK,-87.622683,39.316457,527,Oil and Gas Test,Electric Log,,,-119,,-158,,,,,,,
02300814000C,CLARK,-87.541274,39.424401,514,Oil and Gas Test,Electric Log,,,,,7,4.5,,,,,,
02300815000C,CLARK,-87.569608,39.41077,561,Oil and Gas Test,Electric Log,,,-4,,-31,3.5,,,,,,
02300816000C,CLARK,-87.543636,39.412794,503,Oil and Gas Test,Electric Log,,,49,,,,,,,,,
02300817000C,CLARK,-87.548282,39.396308,546,Oil and Gas Test,Electric Log,,,56,,,,,,,,,
02300818000C,CLARK,-87.548317,39.401717,552,Oil and Gas Test,Electric Log,,,58,,-2,4,,,,,,
02300819000C,CLARK,-87.541189,39.398147,548,Oil and Gas Test,Electric Log,,,44,,-2,4.5,,,,,,
02300820000C,CLARK,-87.547062,39.390912,542,Oil and Gas Test,Electric Log,,,66,,,,,,,,,
02300822000C,CLARK,-87.555294,39.376401,549,Oil and Gas Test,Electric Log,,,45,,,,,,,,,
02300823000C,CLARK,-87.56004,39.38,551,Oil and Gas Test,Electric Log,,,52,,,,,,,,,
02300830000C,CLARK,-87.54823,39.381867,545,Oil and Gas Test,Electric Log,,,58,,,,,,,,,
